6,66,KHO LANTA,KHO LANTA Weather Observing Station,7.5444446,99.046387,5.0
6,67,PHUKET,PHUKET Weather Observing Station,7.8844442,98.39167,8.0
6,68,PHUKET AIRPORT,PHUKET AIRPORT Weather Observing Station,8.1044445,98.307777,13.0
5,69,CHUMPHON,CHUMPHON Weather Observing Station,10.565556,99.188614,22.0
4,70,CHAIYAPHUM,CHAIYAPHUM Weather Observing Station,15.807222,102.02389,135.0
4,71,ROI ET Weather,ROI ET Weather Observing Station,16.02,103.74389,142.0
4,72,ROI ET Agrometeorlogical,ROI ET Agrometeorlogical Station,16.074722,103.60416,154.0
4,73,MUKDAHAN,MUKDAHAN Weather Observing Station,16.549444,104.73083,134.0
4,74,UBON Agrometeorlogical,UBON  Agrometeorlogical Station,15.2075,105.01667,124.0
4,75,UBON Weather,UBON  Weather Observing Station,15.328889,104.87139,97.0
4,76,SRI SA KET,SRI SA KET Agrometeorlogical Station,15.087222,104.32694,137.0
4,77,LOEI Agrometeorlogical,LOEI Agrometeorlogical Station,17.309444,101.72916,270.0
4,78,LOEI Weather,LOEI Weather Observing Station,17.502501,101.73028,256.0
4,79,NONGBUALAMPHU,NONGBUALAMPHU Weather Observing Station,17.208889,102.44639,160.0
4,80,UDON THANI,UDON THANI Weather Observing Station,17.378611,102.80583,175.0
4,81,NONG KHAI,NONG KHAI Weather Observing Station,17.865,102.74722,154.0
4,82,SAKON NAKHON Weather,SAKON NAKHON  Weather Observing Station,17.323055,104.13306,171.0
4,83,SAKON NAKHON Agrometeorlogical,SAKON NAKHON Agrometeorlogical Station,17.126389,104.05722,190.0
4,84,NAKHON PHANOM,NAKHON PHANOM Weather Observing Station,17.411945,104.77889,148.0
5,85,PATTANI,PATTANI Weather Observing Station,6.7833333,101.15,6.0
5,86,YALA,YALA Agrometeorlogical Station,6.5166669,101.28333,36.040001
5,87,NARATHIWAT,NARATHIWAT Weather Observing Station,6.4166665,101.81667,5.1300001
5,88,KANJANADIT,KANJANADIT Agrometeorlogical Station,9.1833334,99.73333,27.0
5,89,BANGJAK_2,BANGJAK_2 Agrometeorlogical Station,8.1777782,100.17194,6.0
5,90,CHAWANG,CHAWANG Hydrometeorlogical Station,8.4266663,99.503052,36.0
5,91,PHRASANG,PHRASANG Hydrometeorlogical Station,8.5719442,99.254997,14.0
5,92,KHO TAO,KHO TAO Weather Observing Station,10.072778,99.82917,29.0
